TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20140101140007,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101140011,16,2,1,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0
20140101140028,65,2,3,0,60,240,0,0,0,0,0,0,0,0,0,0,0,0
20140101140063,50,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20140101140168,23,2,1,95,0,140,0,30,0,0,0,0,0,0,0,0,0,0
20140101140537,85,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20140101140559,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101140610,28,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20140101140614,63,2,0,0,0,154,0,0,0,0,0,0,0,0,12,0,0,0
20140101140639,85,1,0,15,0,0,0,15,0,0,0,0,0,30,0,1,0,0
20140101140665,66,2,0,0,35,30,0,20,0,0,0,0,0,0,10,0,0,0
20140101140685,54,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20140101140702,31,2,3,180,120,0,0,5,0,0,0,0,0,0,0,0,0,0
20140101140725,35,1,1,0,0,15,1,20,0,0,0,0,0,0,0,0,0,0
20140101140759,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101140792,37,1,0,0,0,5,0,0,0,0,0,0,0,0,30,0,0,0
20140101140804,41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101140836,85,2,0,0,0,120,0,45,0,0,0,0,0,120,90,0,0,0
20140101140852,67,1,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
20140101140854,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20140101140872,45,2,3,30,2,30,0,30,0,0,0,0,0,0,0,0,0,0
20140101140875,62,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20140101140876,67,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20140101140885,80,2,0,2,10,70,0,40,0,0,0,0,0,0,178,0,0,0
20140101140911,61,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
20140101140940,49,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20140101140958,26,2,2,0,0,40,0,0,0,0,0,0,0,0,45,0,0,0
20140101140967,66,2,0,222,0,40,0,0,0,0,3,0,0,0,0,0,0,0
20140101140973,62,1,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0
20140101140990,61,1,0,0,0,50,0,0,0,0,0,30,0,0,0,0,0,0
20140101140995,47,1,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0
20140101141014,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141056,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141081,70,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20140101141134,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141177,69,1,0,0,0,0,0,20,0,0,0,0,0,5,0,0,0,0
20140101141179,56,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20140101141180,28,2,0,0,20,35,0,15,0,0,0,0,0,0,0,0,0,0
20140101141214,55,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20140101141232,66,2,0,0,0,4,0,30,0,0,45,0,0,0,5,0,0,0
20140101141282,72,2,0,45,60,60,0,45,0,0,0,0,0,0,0,0,0,0
20140101141288,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141321,66,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20140101141331,80,1,0,0,90,75,0,0,0,0,0,0,0,0,60,5,0,0
20140101141365,66,1,0,0,0,30,0,0,0,0,60,0,0,0,0,0,0,0
20140101141379,36,1,3,95,30,20,0,10,0,0,0,0,0,0,0,0,0,0
20140101141381,47,2,1,0,0,90,0,20,0,0,45,0,0,0,0,0,0,0
20140101141386,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141409,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141418,61,2,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0
20140101141430,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141449,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141488,38,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20140101141502,75,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20140101141515,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141556,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141584,51,2,2,0,0,40,0,105,0,0,0,0,0,0,0,0,0,0
20140101141589,80,2,0,45,0,35,0,15,0,0,0,0,0,0,0,0,15,0
20140101141629,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141646,33,2,2,0,0,40,15,15,0,0,0,0,0,0,0,0,0,0
20140101141661,33,1,0,0,60,0,0,30,0,0,0,0,0,0,0,0,0,30
20140101141672,24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20140101141687,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141690,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141724,60,2,0,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0
20140101141777,72,2,0,150,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20140101141795,49,2,1,0,5,30,0,10,0,0,0,0,0,0,0,0,0,0
20140101141796,38,1,1,30,0,0,0,0,0,0,0,120,0,0,0,0,10,0
20140101141817,69,1,0,20,20,5,0,20,0,0,0,0,0,0,0,5,0,0
20140101141837,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101141841,70,2,0,10,0,59,0,0,0,0,0,0,0,0,5,0,30,0
20140101141860,41,1,1,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0
20140101141863,44,2,2,0,0,90,0,20,0,0,0,0,0,0,0,0,0,0
20140101141897,63,2,0,0,0,80,0,65,0,0,0,0,0,0,0,0,0,0
20140101141928,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101142008,71,2,0,0,150,60,0,30,0,0,0,0,0,90,0,0,0,0
20140101142020,32,2,1,0,5,10,0,0,0,0,0,0,0,0,0,0,20,0
20140101142022,51,2,1,0,90,80,0,105,0,0,0,0,0,0,0,0,0,0
20140101142036,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20140101142043,41,2,0,0,0,50,10,0,0,0,0,0,0,0,0,0,0,0
20140101142048,40,2,2,0,0,80,15,0,0,0,0,0,0,5,2,0,0,0
20140101142071,20,2,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20140101142108,78,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20140101142132,40,2,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
