TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20050101050006,51,2,0,30,120,45,0,0,0,0,0,0,0,0,0,0,0,0
20050101050012,42,2,2,55,50,0,0,60,0,0,0,30,0,0,0,0,0,0
20050101050020,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
20050101050040,21,2,0,90,0,90,0,45,0,0,0,0,0,0,0,0,0,0
20050101050043,49,2,0,205,0,0,0,15,0,0,0,0,0,0,0,0,0,0
20050101050049,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050101050051,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050101050062,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050101050098,30,2,2,0,0,105,0,30,0,0,0,0,0,0,0,0,0,0
20050101050113,26,1,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050101050115,31,1,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
20050101050119,32,1,0,0,0,15,0,0,809,0,0,0,0,0,0,0,0,0
20050101050127,43,2,1,45,0,70,0,0,0,0,0,0,0,0,0,0,0,0
20050101050139,30,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20050101050146,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050101050159,80,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20050101050502,62,2,0,90,0,195,0,60,0,0,0,0,0,5,0,0,0,0
20050101050538,39,2,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20050101050561,38,2,4,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0
20050101050568,57,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
20050101050574,40,1,4,60,120,100,0,60,0,0,0,0,0,0,0,0,0,0
20050101050601,61,1,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0
