TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20030100013280,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100013344,41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100013352,26,2,0,0,0,180,0,60,0,0,0,0,0,0,0,0,0,0
20030100013848,36,2,2,0,0,110,0,40,0,0,0,0,0,0,0,0,110,0
20030100014165,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100014169,32,2,1,0,55,45,0,15,0,0,0,0,0,0,0,0,0,0
20030100014209,44,2,1,0,0,0,0,10,0,0,0,0,0,75,0,0,0,0
20030100014427,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100014550,33,2,3,60,120,120,0,60,0,0,0,0,0,0,0,0,0,0
20030100014758,39,2,4,0,0,90,0,25,0,0,0,0,0,0,0,15,0,0
20030100014928,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100015106,33,2,1,0,10,35,0,5,0,0,0,0,0,0,0,0,0,0
20030100015322,42,2,1,0,135,42,0,0,0,0,0,0,0,0,0,0,0,0
20030100015390,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100015490,32,2,1,0,0,45,0,0,0,0,0,0,0,0,13,0,0,0
20030100015890,45,2,2,60,0,270,0,60,0,0,0,0,0,0,0,0,0,0
20030100015891,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100015941,28,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,15,0
20030100015986,50,2,0,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0
20030100016070,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030010,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030056,39,2,2,150,30,10,0,60,0,0,0,0,0,0,45,0,0,0
20030101030074,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030082,18,1,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20030101030093,25,2,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
20030101030124,21,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20030101030132,48,2,0,15,0,132,0,10,0,0,0,0,0,0,0,0,0,0
20030101030152,58,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20030101030154,59,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030157,27,1,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0
20030101030168,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030173,42,2,2,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
20030101030501,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030549,68,2,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
20030101030553,59,2,0,0,0,85,0,10,0,0,0,0,0,0,10,0,0,0
20030101030598,63,2,0,0,0,30,0,30,0,0,0,0,0,0,15,0,0,0
20030101030600,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030611,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030638,37,1,2,0,25,14,0,28,0,0,0,0,0,0,0,12,0,0
20030101030642,45,1,0,120,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20030101030658,50,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20030101030673,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
20030101030758,38,1,1,0,0,63,0,0,0,0,60,60,0,0,0,0,0,0
20030101030796,58,2,0,90,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20030101030811,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030813,17,2,2,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0
20030101030828,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101030830,21,2,3,0,0,45,3,10,0,0,0,0,0,0,0,0,0,0
20030101030843,79,2,0,49,45,0,0,5,0,0,0,55,0,0,0,0,0,0
20030101030862,41,1,3,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0
20030101030883,55,2,0,30,0,60,0,15,0,0,0,0,0,0,25,0,0,0
20030101030914,36,2,3,140,0,135,0,0,0,0,0,0,0,0,0,0,0,0
20030101030930,40,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
20030101030947,47,1,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20030101030962,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
20030101031007,67,1,0,0,0,10,0,0,0,0,0,0,0,0,0,25,0,0
20030101031020,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031030,58,2,0,2,32,33,0,0,0,0,0,15,0,0,10,5,60,0
20030101031035,34,2,2,0,0,60,0,10,0,0,0,0,0,0,0,0,0,0
20030101031036,36,2,1,0,0,30,0,90,0,0,0,0,0,0,0,0,0,0
20030101031047,46,2,1,30,0,60,0,0,0,0,0,0,0,0,10,0,0,0
20030101031049,80,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031055,70,2,0,180,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20030101031073,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031074,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
20030101031095,54,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031117,37,2,2,0,90,25,0,0,150,0,0,0,0,0,75,0,0,0
20030101031150,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031157,41,2,2,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031171,31,2,1,15,0,65,0,15,0,0,0,0,0,0,0,0,0,0
20030101031183,58,2,0,60,60,20,0,0,0,0,0,0,0,0,0,0,0,0
20030101031197,45,2,3,0,152,89,0,15,0,0,0,0,0,0,0,0,0,32
20030101031225,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031231,68,2,2,45,43,8,0,40,0,0,0,0,0,15,20,0,0,0
20030101031284,80,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
20030101031299,52,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20030101031318,32,2,2,90,0,45,0,60,0,0,0,0,0,0,0,0,0,0
20030101031347,80,2,0,15,0,65,0,0,0,0,0,0,0,0,0,10,0,0
20030101031400,32,2,2,0,0,0,0,0,0,0,0,0,0,15,0,0,245,0
20030101031413,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031414,46,1,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
20030101031436,37,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20030101031444,80,2,0,10,0,102,0,0,0,0,0,0,0,0,0,60,0,0
20030101031468,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031490,53,2,0,30,10,15,0,40,0,0,0,0,0,0,0,0,0,15
20030101031494,39,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031520,75,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20030101031567,38,2,2,30,0,35,0,25,0,0,0,0,0,0,3,11,0,0
20030101031570,54,2,0,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0
20030101031604,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031606,79,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
20030101031612,52,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031634,29,1,1,0,30,20,0,0,0,0,0,0,0,0,5,0,0,0
20030101031643,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
20030101031654,32,2,2,35,105,140,0,60,0,0,0,0,0,0,10,0,0,0
20030101031670,65,1,1,0,0,45,0,0,0,0,0,0,0,0,0,10,28,0
20030101031676,36,2,2,0,15,20,0,0,0,0,0,0,0,0,81,0,0,0
20030101031678,54,2,0,73,0,55,0,0,60,0,0,0,0,0,0,0,0,0
20030101031679,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031696,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031711,74,2,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0
20030101031741,61,2,1,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20030101031749,46,2,2,0,10,300,0,0,0,0,0,0,0,0,0,0,0,0
20030101031752,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031761,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031766,20,2,1,0,0,5,0,0,0,0,0,0,0,0,45,0,0,0
20030101031785,43,2,5,50,90,125,0,60,0,0,0,0,0,0,0,0,0,0
20030101031792,68,2,0,60,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20030101031800,54,1,0,0,45,10,0,0,0,0,0,0,0,0,30,0,45,3
20030101031802,31,2,2,100,30,135,0,15,0,0,30,0,0,0,0,0,0,0
20030101031807,51,1,2,15,74,70,0,15,0,0,0,0,0,0,79,1,0,0
20030101031812,53,2,0,30,0,0,0,0,0,0,0,0,0,0,0,32,0,0
20030101031822,63,1,0,3,0,20,0,0,0,0,0,0,0,60,10,62,0,0
20030101031831,66,2,0,120,60,75,0,0,0,0,0,0,0,0,0,0,0,0
20030101031835,17,2,2,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
20030101031839,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031849,36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101031880,51,2,1,0,55,50,0,30,0,0,0,0,0,0,15,0,20,0
20030101031881,80,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20030101031913,60,2,0,0,40,0,0,0,0,0,0,0,0,0,0,0,60,0
20030101031919,18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
20030101031965,39,1,3,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0
20030101031998,57,2,0,60,0,120,0,15,0,0,0,0,0,0,20,0,0,0
20030101032025,75,2,0,0,60,5,0,145,0,0,0,0,0,0,0,0,0,0
20030101032030,37,2,3,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20030101032050,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101032093,36,2,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101032094,52,1,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
20030101032099,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20030101032100,33,2,4,0,0,30,0,10,0,0,0,0,0,30,0,10,0,0
20030101032117,34,2,6,120,0,35,0,20,0,0,0,0,0,0,0,0,0,0
