TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20080101080013,55,1,0,0,60,0,0,0,0,0,0,0,0,35,0,0,0,0
20080101080015,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101080088,80,2,0,150,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20080101080102,29,2,3,0,0,15,0,0,0,0,0,0,0,0,55,0,0,0
20080101080116,34,2,2,120,120,90,0,0,0,0,0,0,0,0,0,0,0,0
20080101080119,30,2,5,35,120,30,20,0,0,0,0,0,0,0,0,0,0,0
20080101080134,30,1,0,0,0,150,0,90,0,0,60,0,0,0,0,0,0,0
20080101080145,21,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080101080164,36,2,6,0,0,75,0,50,0,0,0,0,0,0,0,0,0,0
20080101080504,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101080536,30,2,2,60,10,30,0,10,0,0,0,0,0,0,0,0,20,0
20080101080545,30,1,2,0,0,0,0,0,0,0,30,0,0,0,90,0,0,0
20080101080567,39,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20080101080600,28,2,3,270,0,60,0,30,0,0,0,0,0,0,0,0,0,0
20080101080606,46,2,0,0,5,30,0,10,0,0,0,0,0,0,0,0,0,0
20080101080629,65,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,0
20080101080707,45,1,0,0,125,5,0,0,0,0,0,0,0,0,0,0,0,0
20080101080753,26,2,4,0,30,35,0,0,0,0,40,0,0,0,0,0,0,0
20080101080755,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101080776,46,2,1,0,0,80,0,30,0,0,0,0,0,0,0,0,0,0
20080101080781,42,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101080813,33,2,2,120,20,130,0,80,0,0,0,0,0,0,0,0,90,0
20080101080842,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101080920,62,2,0,0,30,0,0,30,0,0,0,0,0,120,0,0,0,0
20080101080921,30,2,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20080101080928,56,2,0,30,0,5,0,0,0,0,0,0,0,0,30,10,0,0
20080101080990,85,2,0,110,80,30,0,30,0,0,0,0,0,0,0,0,0,0
20080101081014,49,2,1,90,0,150,0,0,0,0,0,0,0,60,0,0,0,0
20080101081017,67,2,0,15,0,200,0,30,0,0,0,0,0,0,15,0,0,0
20080101081100,49,1,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0
20080101081116,67,1,0,3,0,0,0,0,60,0,0,0,0,0,0,0,0,0
20080101081141,53,2,1,60,30,105,0,60,0,0,0,0,0,0,0,40,0,0
20080101081160,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081180,64,1,0,0,0,0,0,0,217,0,30,0,0,0,0,0,0,0
20080101081208,43,1,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080101081223,72,2,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081353,65,2,0,0,60,50,0,50,0,0,0,0,0,10,0,5,0,0
20080101081373,29,1,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081375,50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081401,48,1,2,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
20080101081402,44,2,0,15,0,282,0,15,0,0,0,0,0,0,0,0,0,0
20080101081409,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081412,63,1,0,60,0,20,0,0,0,0,0,0,0,0,0,0,20,0
20080101081432,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081480,64,2,0,60,0,60,0,60,0,0,0,0,0,0,0,0,0,0
20080101081487,75,2,0,60,0,3,0,10,0,0,0,0,0,10,0,0,0,0
20080101081488,76,1,0,0,75,30,0,0,0,0,0,0,0,0,45,0,60,0
20080101081511,43,2,2,0,0,50,0,65,0,0,0,0,0,0,0,0,0,0
20080101081571,57,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080101081608,52,1,1,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0
20080101081612,37,2,3,145,90,60,0,75,0,0,0,0,0,0,5,0,0,0
20080101081616,69,2,0,45,0,25,0,15,0,0,0,0,0,0,0,0,0,0
20080101081622,61,2,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20080101081625,47,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20080101081674,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081684,33,2,2,20,0,61,0,25,0,0,0,0,0,0,0,0,0,0
20080101081708,63,2,1,0,20,20,0,0,0,0,0,0,0,0,0,0,45,0
20080101081730,76,2,0,0,0,150,0,30,0,0,95,0,0,0,0,0,0,0
20080101081756,64,2,1,0,90,75,0,30,0,0,0,0,0,0,0,0,0,0
20080101081773,67,1,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0
20080101081797,63,1,0,60,0,60,0,0,0,0,0,0,0,0,0,30,0,0
20080101081821,49,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081841,47,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0
20080101081853,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081857,60,1,0,140,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20080101081904,44,2,0,10,40,0,0,0,0,0,0,0,0,0,20,0,0,0
20080101081957,28,1,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081980,32,2,3,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20080101081991,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101081996,58,2,0,240,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20080101082013,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101082083,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101082102,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101082136,49,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
20080101082153,24,2,0,0,240,0,0,0,0,0,0,0,0,0,0,0,5,0
20080101082183,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101082196,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101082243,74,1,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0
20080101082283,36,2,4,0,60,20,0,0,0,0,0,0,0,0,0,0,0,0
20080101082289,59,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0
20080101082301,36,2,1,0,0,30,0,45,0,0,0,0,0,0,0,0,0,0
20080101082339,40,2,3,53,120,112,0,20,0,0,0,0,0,0,0,0,0,0
20080101082343,28,2,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
20080101082361,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080101082369,61,1,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0
20080101082420,23,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20080101082421,32,2,2,105,0,110,0,70,0,0,0,0,0,0,0,0,65,0
20080101082450,26,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20080110071101,33,2,1,0,120,30,0,2,0,0,0,0,0,0,0,0,0,0
20080110071525,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080110071660,42,2,2,30,0,15,0,15,0,0,0,0,0,0,5,0,0,0
20080110071700,41,2,1,0,0,63,0,15,0,0,0,0,0,0,0,0,0,0
20080110071795,51,2,2,0,90,60,0,0,0,0,0,0,0,0,0,0,0,0
20080110071796,43,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20080111070067,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070095,37,1,1,45,90,30,0,30,0,0,0,0,0,0,0,0,0,0
20080111070107,23,2,2,120,55,2,0,0,0,0,0,0,0,0,0,0,0,0
20080111070132,31,1,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0
20080111070138,62,2,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0
20080111070145,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070500,77,2,0,0,0,85,0,90,0,0,0,0,0,0,0,0,0,0
20080111070502,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070508,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070515,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070530,57,1,0,0,0,35,0,0,0,0,0,0,0,0,0,120,0,0
20080111070540,85,2,0,120,0,30,0,30,0,0,0,0,0,0,0,0,0,0
20080111070544,33,2,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20080111070548,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070551,57,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080111070563,37,1,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20080111070566,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
20080111070571,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070577,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070582,17,2,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070591,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
20080111070616,42,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080111070629,77,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
20080111070662,20,2,0,120,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080111070669,34,2,2,40,10,5,0,15,0,0,0,0,0,0,0,0,0,0
20080111070679,36,1,3,0,0,63,0,0,0,0,0,0,0,0,0,0,15,0
20080111070687,85,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080111070721,28,1,2,180,0,10,0,0,0,0,0,0,0,45,0,0,0,0
20080111070751,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070765,23,2,2,30,0,15,0,0,0,0,0,0,0,0,0,0,0,0
20080111070767,17,1,4,180,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080111070776,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20080111070779,47,1,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20080111070791,56,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070804,41,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
20080111070808,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070809,26,1,2,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20080111070818,36,2,0,0,0,0,0,60,30,0,0,0,0,0,0,0,0,0
20080111070840,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070844,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070855,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111070872,29,2,1,375,55,20,0,0,0,0,0,0,0,0,0,0,0,0
20080111070936,80,2,0,180,60,45,0,60,0,0,0,0,0,0,60,0,0,0
20080111070943,44,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20080111070950,85,2,0,0,0,0,0,15,0,0,0,0,0,0,0,60,0,0
20080111070958,43,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20080111070968,78,2,0,15,0,7,0,0,0,0,0,0,0,0,0,0,45,0
20080111070970,59,2,0,90,0,0,0,0,0,0,0,0,0,45,0,0,10,0
20080111070979,46,1,2,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20080111071000,44,2,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071028,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071042,57,1,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20080111071048,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071102,57,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071122,43,1,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071157,48,2,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071183,37,2,3,93,90,40,0,180,0,0,0,0,0,0,25,0,0,0
20080111071188,52,2,1,0,0,45,0,0,0,0,0,0,0,0,0,2,15,0
20080111071194,50,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071203,52,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071206,28,2,3,60,0,30,0,20,0,0,0,120,0,0,0,0,0,0
20080111071213,55,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071215,16,2,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20080111071221,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071227,17,1,1,30,0,0,0,45,0,0,0,0,0,0,10,0,0,0
20080111071233,46,1,0,0,0,20,0,0,0,0,0,0,0,45,0,0,0,0
20080111071236,53,2,1,0,0,90,0,0,0,0,0,0,0,0,30,0,0,0
20080111071239,52,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071263,53,1,0,10,0,30,0,0,0,0,0,0,0,0,0,5,60,0
20080111071279,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071293,45,2,2,0,75,35,0,0,0,0,0,0,0,0,0,0,30,0
20080111071302,45,2,2,72,0,60,0,20,0,0,0,0,0,0,0,0,0,0
20080111071329,32,1,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20080111071337,55,2,0,0,0,55,0,20,0,0,0,0,0,0,0,0,0,0
20080111071340,47,1,0,60,0,240,0,0,0,0,0,0,0,0,0,0,0,0
20080111071364,47,1,3,90,0,30,0,50,0,0,0,0,0,0,0,0,0,0
20080111071371,16,1,1,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071376,42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071391,29,2,0,0,60,10,0,0,0,0,0,0,0,0,0,0,15,0
20080111071425,80,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
20080111071462,57,1,0,30,0,15,0,0,0,0,0,0,0,0,0,2,0,0
20080111071466,50,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20080111071471,18,2,1,95,0,35,0,0,0,0,0,0,0,0,0,0,0,0
20080111071474,76,2,0,60,0,40,0,15,0,0,0,0,0,0,0,0,0,0
20080111071482,38,1,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20080111071485,38,2,0,0,60,0,0,0,0,0,0,0,0,0,15,0,0,0
20080111071487,53,2,1,0,40,37,0,20,0,0,0,0,0,0,0,0,0,0
20080111071489,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071517,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071537,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20080111071539,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071542,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071544,45,2,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20080111071558,60,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071610,36,2,2,30,15,85,0,40,30,0,0,0,0,0,0,0,30,0
20080111071611,50,2,0,0,0,0,0,0,0,0,0,0,0,0,60,0,30,0
20080111071617,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080111071624,75,1,0,120,0,0,0,0,120,0,0,0,0,0,0,0,0,0
20080111071639,56,1,0,0,0,10,0,0,0,0,0,0,0,5,60,10,0,0
20080111071652,44,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20080111071656,61,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
