TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20220101220017,52,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220101220500,30,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
20220101220504,64,2,0,0,0,145,30,135,0,0,0,0,0,0,0,0,0,0
20220101220507,60,2,0,0,30,20,0,0,0,0,0,30,0,0,0,0,0,0
20220101220552,73,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20220101220574,74,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
20220101220580,63,2,0,0,0,90,0,15,0,0,0,0,0,0,0,0,0,0
20220101220601,58,2,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220101220605,62,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20220101220613,39,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
20220101220668,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220101220688,34,2,0,60,0,65,0,0,0,0,0,0,0,0,0,0,0,0
20220101220694,85,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
20220101220695,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220101220720,70,1,0,0,0,110,0,0,0,0,0,0,0,0,15,0,0,0
20220101220721,42,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20220101220722,38,2,2,0,0,90,0,0,0,0,0,0,0,0,120,0,0,0
20220101220736,74,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20220101220764,69,2,0,0,90,80,0,15,0,0,0,0,0,0,2,0,0,0
20220101220766,60,1,0,0,0,28,0,0,0,0,10,0,0,0,0,3,0,0
20220101220767,80,1,0,105,0,15,0,0,0,0,0,0,0,0,0,0,20,0
20220101220778,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220101220796,69,2,0,0,0,16,0,10,0,0,11,0,0,0,0,0,0,0
20220101220809,45,2,3,0,0,120,0,20,0,0,0,0,0,0,0,0,0,0
20220101220811,71,2,0,30,0,130,0,50,0,0,0,0,0,0,0,0,15,0
20220101220876,68,1,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
20220101220877,80,2,0,0,60,20,0,0,0,0,0,0,0,30,0,0,0,0
20220101220882,73,2,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0
20220101220890,45,2,2,60,120,105,5,20,0,0,0,0,0,0,0,0,0,0
20220101220902,71,2,0,0,0,60,0,5,0,0,0,0,0,0,0,0,0,0
20220101220918,53,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30
20220101220940,34,2,2,120,30,30,0,0,0,0,0,0,0,0,0,0,0,0
