TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20190101190022,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190031,25,2,1,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0
20190101190057,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190107,61,2,0,0,0,30,0,30,0,0,0,0,0,15,0,0,0,0
20190101190555,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190565,53,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,45,0
20190101190568,26,2,3,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20190101190587,45,1,4,90,0,30,0,0,0,0,0,90,0,0,10,0,0,20
20190101190607,85,1,0,120,120,30,0,0,0,60,0,0,0,90,0,0,0,0
20190101190654,74,1,0,0,0,120,0,30,0,0,0,0,0,0,15,0,0,0
20190101190677,85,2,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
20190101190703,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190725,67,2,0,0,20,50,0,0,0,0,0,0,0,0,0,5,0,0
20190101190755,40,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190757,53,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
20190101190760,77,2,0,5,22,61,18,46,2,0,0,0,0,0,1,3,10,0
20190101190778,40,1,1,20,0,35,0,30,265,170,0,0,0,0,0,0,0,0
20190101190790,52,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20190101190802,52,1,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20190101190817,37,2,2,150,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20190101190827,74,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190838,18,1,1,0,0,0,0,0,0,0,45,0,0,0,75,0,0,0
20190101190855,76,1,0,0,30,0,0,25,0,0,0,0,0,0,7,0,0,0
20190101190877,67,2,0,5,120,0,0,15,0,0,0,0,0,0,0,0,0,0
20190101190912,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190950,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190955,68,2,0,180,60,0,0,1,0,0,0,0,0,0,240,0,60,0
20190101190969,80,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20190101190971,65,1,0,0,0,185,0,0,0,0,0,0,0,0,60,0,0,0
20190101190992,64,1,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
20190101190993,74,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101190996,19,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20190101191026,68,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
20190101191042,47,2,2,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20190101191054,59,2,0,0,0,25,0,60,0,0,0,0,0,0,0,0,0,0
20190101191111,33,1,1,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0
20190101191192,42,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20190101191219,58,1,0,120,120,30,0,0,0,0,0,0,0,0,0,0,0,0
20190101191238,40,2,3,35,60,140,0,70,0,0,0,0,0,0,0,0,0,0
20190101191258,57,2,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20190101191270,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101191288,72,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20190101191314,28,2,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
20190101191325,62,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20190101191327,80,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101191331,44,2,4,0,60,65,0,75,0,0,0,0,0,0,0,0,0,0
20190101191418,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0
20190101191420,61,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
20190101191442,41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101191477,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101191547,72,1,0,0,0,40,0,30,0,0,0,0,0,225,0,0,0,0
20190101191593,80,1,0,0,0,20,0,10,0,0,0,0,0,0,0,3,0,0
20190101191632,26,2,2,40,0,155,5,45,0,0,0,0,0,0,0,0,0,0
20190101191681,73,2,0,0,10,15,0,15,0,0,0,0,0,185,0,0,0,0
20190101191701,29,2,2,120,0,60,0,0,0,0,0,15,0,0,0,0,0,0
20190101191748,42,2,1,0,0,30,0,0,0,0,10,0,0,0,0,0,0,0
20190101191756,47,2,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
20190101191789,39,1,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
