TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20170101170002,34,2,1,0,0,45,0,10,0,0,0,0,0,0,0,0,0,0
20170101170012,28,2,2,0,0,120,0,30,0,0,0,0,0,0,0,0,0,0
20170101170027,15,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170030,46,1,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,5
20170101170033,85,1,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0
20170101170079,60,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
20170101170090,44,1,1,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0
20170101170149,49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170520,63,1,0,0,0,20,0,0,0,0,0,125,0,0,55,0,0,0
20170101170521,70,2,0,90,15,42,0,15,0,0,0,0,0,0,0,5,33,0
20170101170522,44,2,0,0,15,10,0,0,0,0,0,0,0,0,10,0,0,0
20170101170539,17,2,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20170101170551,79,1,0,0,0,45,0,0,0,0,0,0,0,0,120,0,0,0
20170101170552,61,1,2,40,0,45,0,45,0,0,0,0,0,0,0,0,0,0
20170101170572,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170574,64,2,0,40,20,45,0,0,0,0,0,0,0,0,0,0,0,0
20170101170578,22,2,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
20170101170595,46,1,1,15,30,62,0,30,0,0,0,45,30,0,35,0,0,0
20170101170596,52,1,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170598,47,2,1,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0
20170101170612,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170615,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170639,85,2,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
20170101170651,38,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170668,64,2,0,60,0,20,0,0,0,0,0,0,0,60,75,0,15,0
20170101170687,58,2,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0
20170101170688,51,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20170101170710,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170714,33,2,2,15,0,35,0,50,0,0,0,0,0,0,0,0,0,0
20170101170726,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170789,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170793,22,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20170101170795,42,2,0,1,0,15,0,8,0,0,0,0,0,0,5,0,0,0
20170101170799,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170801,66,1,0,75,0,30,0,20,0,0,0,0,0,0,35,0,0,0
20170101170805,74,2,0,60,0,0,0,0,0,0,0,0,0,45,0,0,0,0
20170101170806,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170819,64,2,1,0,0,105,0,108,0,0,0,0,0,0,0,0,0,0
20170101170830,29,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20170101170833,75,1,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
20170101170834,56,2,1,0,0,10,0,0,0,0,0,0,0,15,0,7,120,0
20170101170836,68,1,0,120,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20170101170842,52,2,1,0,75,20,0,30,0,0,0,0,0,0,0,0,0,0
20170101170848,73,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170855,38,2,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20170101170866,85,2,0,15,0,40,0,55,0,0,0,0,0,0,0,0,0,0
20170101170877,17,2,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
20170101170887,62,2,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0
20170101170902,41,2,1,65,0,62,0,40,30,0,0,0,0,0,180,0,0,0
20170101170920,73,1,7,45,5,25,0,0,0,0,0,0,0,0,10,2,0,0
20170101170921,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170924,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170928,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20170101170933,55,2,2,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0
20170101170951,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170952,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170970,43,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20170101170977,26,2,1,0,15,45,0,20,0,0,0,0,0,0,0,0,0,0
20170101170980,57,2,0,93,60,90,0,40,0,0,0,25,0,0,0,30,0,0
20170101170982,60,1,0,240,15,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101170984,53,2,0,0,20,33,0,25,0,0,0,0,0,0,0,0,0,0
20170101170989,51,2,0,130,0,0,0,0,0,0,0,0,0,50,0,0,0,0
20170101171004,71,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20170101171021,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170101171037,64,2,0,270,0,10,0,0,0,0,0,0,0,30,10,0,0,0
20170101171049,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
