TUCASEID,TEAGE,TESEX,TRCHILDNUM,t020101,t020102,t020201,t020202,t020203,t020301,t020302,t020303,t020501,t020502,t020901,t020902,t020903,t020904,t020905
20090101090037,80,1,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0
20090101090064,38,2,0,120,186,0,0,0,60,0,0,0,0,0,0,0,0,0
20090101090070,39,2,2,60,90,73,0,15,0,0,0,0,0,0,0,0,0,0
20090101090504,64,2,0,0,210,15,0,0,0,0,0,0,0,0,0,0,0,0
20090101090518,77,2,0,0,30,150,0,60,0,0,0,0,0,240,150,0,0,0
20090101090554,61,2,0,45,0,66,0,15,0,0,0,0,0,120,90,0,0,0
20090101090572,57,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
20090101090611,43,2,0,120,0,90,0,30,0,0,0,0,0,0,190,0,0,0
20090101090615,33,1,0,0,0,25,0,30,0,0,0,0,0,0,0,0,30,0
20090101090637,73,2,0,45,0,70,0,0,0,0,35,60,0,0,0,0,0,0
20090101090640,24,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
20090101090643,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101090644,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101090679,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101090705,39,1,1,295,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20090101090724,47,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101090755,54,2,0,180,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20090101090788,67,1,0,150,120,170,0,105,0,0,0,0,0,0,40,0,0,0
20090101090790,48,2,1,0,60,45,0,60,0,0,0,0,0,0,0,0,0,0
20090101090793,54,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20090101090798,66,2,0,0,0,50,0,30,0,0,0,0,0,0,0,0,0,0
20090101090819,34,1,2,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
20090101090845,35,2,4,0,0,99,0,0,0,0,0,0,0,0,10,0,85,0
20090101090878,66,2,0,150,0,20,0,20,0,0,0,0,0,0,0,0,0,0
20090101090908,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101090944,72,2,0,130,0,20,0,0,0,0,0,0,0,0,15,0,0,0
20090101090963,26,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20090101090969,80,2,0,50,0,35,0,30,0,0,0,0,0,0,0,0,0,0
20090101090971,54,2,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0
20090101090984,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101090991,39,2,2,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0
20090101090995,23,2,0,0,0,60,0,0,0,0,0,0,0,0,270,0,0,0
20090101091015,37,2,1,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101091016,60,2,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101091025,79,1,0,90,0,30,0,0,0,0,0,0,0,0,0,0,0,0
20090101091029,52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101091034,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101091059,45,2,2,0,0,10,35,0,0,0,0,0,0,0,0,0,0,0
20090101091079,34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101091080,69,1,0,60,0,75,0,0,0,0,0,0,0,0,0,0,0,0
20090101091085,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090101091095,51,2,0,0,0,0,0,10,0,335,0,0,0,0,20,0,0,0
20090101091110,38,1,3,0,0,70,0,0,0,0,0,0,0,0,25,0,0,0
20090101091112,32,2,2,60,0,180,0,15,0,0,0,0,0,0,0,0,0,0
20090101091134,66,1,0,60,0,10,0,0,0,0,0,0,0,60,0,0,0,0
20090101091141,27,2,2,0,5,80,0,315,45,0,0,0,0,0,0,0,0,0
20090101091153,79,2,0,180,0,20,0,30,0,0,0,0,0,0,0,0,0,0
20090101091184,72,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
